semana_fiscal,categoria,tienda,inventario_inicial,unidades_vendidas
29,Hombre,Tienda Oriente,53,14
29,Hombre,Tienda Poniente,62,17
29,Accesorios,Tienda Norte,107,31
29,Accesorios,Tienda Sur,82,25
29,Accesorios,Tienda Centro,84,21
29,Accesorios,Tienda Oriente,75,27
29,Accesorios,Tienda Poniente,93,25
30,Mujer,Tienda Norte,156,67
30,Mujer,Tienda Sur,97,39
30,Mujer,Tienda Centro,116,26
30,Mujer,Tienda Oriente,119,30
30,Mujer,Tienda Poniente,113,42
30,Niños,Tienda Norte,158,122
30,Niños,Tienda Sur,100,82
30,Niños,Tienda Centro,154,93
30,Niños,Tienda Oriente,111,83
30,Niños,Tienda Poniente,113,95
30,Calzado,Tienda Norte,102,31
30,Calzado,Tienda Sur,48,15
30,Calzado,Tienda Centro,86,20
30,Calzado,Tienda Oriente,61,25
30,Calzado,Tienda Poniente,66,28
30,Hombre,Tienda Norte,88,39
30,Hombre,Tienda Sur,41,12
30,Hombre,Tienda Centro,60,15
30,Hombre,Tienda Oriente,61,13
30,Hombre,Tienda Poniente,66,22
30,Accesorios,Tienda Norte,129,48
30,Accesorios,Tienda Sur,81,31
30,Accesorios,Tienda Centro,89,36
30,Accesorios,Tienda Oriente,92,32
30,Accesorios,Tienda Poniente,85,27
31,Mujer,Tienda Norte,174,49
31,Mujer,Tienda Sur,102,41
31,Mujer,Tienda Centro,116,48
31,Mujer,Tienda Oriente,93,30
31,Mujer,Tienda Poniente,126,34
31,Niños,Tienda Norte,106,24
31,Niños,Tienda Sur,71,29
31,Niños,Tienda Centro,84,31
31,Niños,Tienda Oriente,72,23
31,Niños,Tienda Poniente,73,29
31,Calzado,Tienda Norte,85,25
31,Calzado,Tienda Sur,55,20
31,Calzado,Tienda Centro,73,20
31,Calzado,Tienda Oriente,68,20
31,Calzado,Tienda Poniente,60,17
31,Hombre,Tienda Norte,73,30
31,Hombre,Tienda Sur,49,13
31,Hombre,Tienda Centro,58,13
31,Hombre,Tienda Oriente,58,19
31,Hombre,Tienda Poniente,64,19
31,Accesorios,Tienda Norte,56,17
31,Accesorios,Tienda Sur,33,12
31,Accesorios,Tienda Centro,42,18
31,Accesorios,Tienda Oriente,46,12
31,Accesorios,Tienda Poniente,45,17
32,Mujer,Tienda Norte,240,187
32,Mujer,Tienda Sur,141,116
32,Mujer,Tienda Centro,205,169
32,Mujer,Tienda Oriente,154,116
32,Mujer,Tienda Poniente,177,130
32,Niños,Tienda Norte,123,60
32,Niños,Tienda Sur,73,42
32,Niños,Tienda Centro,120,68
32,Niños,Tienda Oriente,107,69
32,Niños,Tienda Poniente,100,48
32,Calzado,Tienda Norte,99,40
32,Calzado,Tienda Sur,53,19
32,Calzado,Tienda Centro,69,20
32,Calzado,Tienda Oriente,61,23
32,Calzado,Tienda Poniente,78,26
32,Hombre,Tienda Norte,80,27
32,Hombre,Tienda Sur,54,18
32,Hombre,Tienda Centro,60,17
32,Hombre,Tienda Oriente,46,14
32,Hombre,Tienda Poniente,68,21
32,Accesorios,Tienda Norte,112,29
32,Accesorios,Tienda Sur,66,19
32,Accesorios,Tienda Centro,104,34
32,Accesorios,Tienda Oriente,73,16
32,Accesorios,Tienda Poniente,102,28
33,Mujer,Tienda Norte,139,50
33,Mujer,Tienda Sur,99,25
33,Mujer,Tienda Centro,150,48
33,Mujer,Tienda Oriente,101,39
33,Mujer,Tienda Poniente,105,34
33,Niños,Tienda Norte,117,45
33,Niños,Tienda Sur,62,24
33,Niños,Tienda Centro,82,28
33,Niños,Tienda Oriente,80,23
33,Niños,Tienda Poniente,71,20
33,Calzado,Tienda Norte,77,31
33,Calzado,Tienda Sur,60,23
33,Calzado,Tienda Centro,78,34
33,Calzado,Tienda Oriente,59,15
33,Calzado,Tienda Poniente,77,17
33,Hombre,Tienda Norte,80,27
33,Hombre,Tienda Sur,45,10
33,Hombre,Tienda Centro,67,22
33,Hombre,Tienda Oriente,47,15
33,Hombre,Tienda Poniente,61,24
33,Accesorios,Tienda Norte,112,39
33,Accesorios,Tienda Sur,69,27
33,Accesorios,Tienda Centro,107,25
33,Accesorios,Tienda Oriente,77,23
33,Accesorios,Tienda Poniente,87,28
34,Mujer,Tienda Norte,147,30
34,Mujer,Tienda Sur,102,41
34,Mujer,Tienda Centro,129,40
34,Mujer,Tienda Oriente,105,38
34,Mujer,Tienda Poniente,134,56
34,Niños,Tienda Norte,104,30
34,Niños,Tienda Sur,57,20
34,Niños,Tienda Centro,90,22
34,Niños,Tienda Oriente,70,20
34,Niños,Tienda Poniente,76,16
34,Calzado,Tienda Norte,125,82
34,Calzado,Tienda Sur,91,77
34,Calzado,Tienda Centro,113,74
34,Calzado,Tienda Oriente,103,67
34,Calzado,Tienda Poniente,104,76
34,Hombre,Tienda Norte,89,26
34,Hombre,Tienda Sur,52,12
34,Hombre,Tienda Centro,64,17
34,Hombre,Tienda Oriente,49,17
34,Hombre,Tienda Poniente,55,19
34,Accesorios,Tienda Norte,100,27
34,Accesorios,Tienda Sur,65,16
34,Accesorios,Tienda Centro,106,34
34,Accesorios,Tienda Oriente,90,37
34,Accesorios,Tienda Poniente,89,28
35,Mujer,Tienda Norte,134,53
35,Mujer,Tienda Sur,82,22
35,Mujer,Tienda Centro,134,48
35,Mujer,Tienda Oriente,120,27
35,Mujer,Tienda Poniente,109,44
35,Niños,Tienda Norte,114,25
35,Niños,Tienda Sur,59,13
35,Niños,Tienda Centro,84,22
35,Niños,Tienda Oriente,66,16
35,Niños,Tienda Poniente,80,30
35,Calzado,Tienda Norte,97,22
35,Calzado,Tienda Sur,54,12
35,Calzado,Tienda Centro,67,22
35,Calzado,Tienda Oriente,55,17
35,Calzado,Tienda Poniente,77,21
35,Hombre,Tienda Norte,78,26
35,Hombre,Tienda Sur,52,11
35,Hombre,Tienda Centro,57,12
35,Hombre,Tienda Oriente,56,17
35,Hombre,Tienda Poniente,65,16
35,Accesorios,Tienda Norte,119,37
35,Accesorios,Tienda Sur,71,16
35,Accesorios,Tienda Centro,102,24
35,Accesorios,Tienda Oriente,85,30
35,Accesorios,Tienda Poniente,86,26
36,Mujer,Tienda Norte,201,123
36,Mujer,Tienda Sur,131,98
36,Mujer,Tienda Centro,177,113
36,Mujer,Tienda Oriente,161,142
36,Mujer,Tienda Poniente,163,124
36,Niños,Tienda Norte,94,23
36,Niños,Tienda Sur,65,16
36,Niños,Tienda Centro,81,34
36,Niños,Tienda Oriente,62,19
36,Niños,Tienda Poniente,84,25
36,Calzado,Tienda Norte,92,24
36,Calzado,Tienda Sur,63,21
36,Calzado,Tienda Centro,66,18
36,Calzado,Tienda Oriente,67,19
36,Calzado,Tienda Poniente,72,28
36,Hombre,Tienda Norte,75,21
36,Hombre,Tienda Sur,46,17
36,Hombre,Tienda Centro,75,20
36,Hombre,Tienda Oriente,46,15
36,Hombre,Tienda Poniente,64,24
36,Accesorios,Tienda Norte,132,36
36,Accesorios,Tienda Sur,78,21
36,Accesorios,Tienda Centro,95,29
36,Accesorios,Tienda Oriente,75,22
36,Accesorios,Tienda Poniente,100,31
37,Mujer,Tienda Norte,155,39
37,Mujer,Tienda Sur,93,31
37,Mujer,Tienda Centro,115,35
37,Mujer,Tienda Oriente,107,30
37,Mujer,Tienda Poniente,117,32
37,Niños,Tienda Norte,106,27
37,Niños,Tienda Sur,70,21
37,Niños,Tienda Centro,76,23
37,Niños,Tienda Oriente,69,30
37,Niños,Tienda Poniente,71,23
37,Calzado,Tienda Norte,77,31
37,Calzado,Tienda Sur,59,15
37,Calzado,Tienda Centro,75,26
37,Calzado,Tienda Oriente,62,18
37,Calzado,Tienda Poniente,79,29
37,Hombre,Tienda Norte,80,20
37,Hombre,Tienda Sur,50,14
37,Hombre,Tienda Centro,66,19
37,Hombre,Tienda Oriente,53,20
37,Hombre,Tienda Poniente,51,10
37,Accesorios,Tienda Norte,105,42
37,Accesorios,Tienda Sur,70,28
37,Accesorios,Tienda Centro,112,37
37,Accesorios,Tienda Oriente,90,22
37,Accesorios,Tienda Poniente,81,31
38,Mujer,Tienda Norte,190,121
38,Mujer,Tienda Sur,115,77
38,Mujer,Tienda Centro,155,88
38,Mujer,Tienda Oriente,147,68
38,Mujer,Tienda Poniente,158,86
38,Niños,Tienda Norte,111,29
38,Niños,Tienda Sur,64,14
38,Niños,Tienda Centro,85,38
38,Niños,Tienda Oriente,62,23
38,Niños,Tienda Poniente,82,36
38,Calzado,Tienda Norte,128,102
38,Calzado,Tienda Sur,69,52
38,Calzado,Tienda Centro,91,59
38,Calzado,Tienda Oriente,79,53
38,Calzado,Tienda Poniente,90,78
38,Hombre,Tienda Norte,71,26
38,Hombre,Tienda Sur,45,13
38,Hombre,Tienda Centro,72,27
38,Hombre,Tienda Oriente,53,15
38,Hombre,Tienda Poniente,56,21
38,Accesorios,Tienda Norte,130,54
38,Accesorios,Tienda Sur,73,29
38,Accesorios,Tienda Centro,97,33
38,Accesorios,Tienda Oriente,72,23
38,Accesorios,Tienda Poniente,102,24
39,Mujer,Tienda Norte,152,31
39,Mujer,Tienda Sur,87,29
39,Mujer,Tienda Centro,123,41
39,Mujer,Tienda Oriente,107,42
39,Mujer,Tienda Poniente,127,47
39,Niños,Tienda Norte,52,16
39,Niños,Tienda Sur,28,10
39,Niños,Tienda Centro,41,16
39,Niños,Tienda Oriente,40,12
39,Niños,Tienda Poniente,40,11
39,Calzado,Tienda Norte,99,30
39,Calzado,Tienda Sur,49,16
39,Calzado,Tienda Centro,85,20
39,Calzado,Tienda Oriente,70,22
39,Calzado,Tienda Poniente,60,17
39,Hombre,Tienda Norte,88,23
39,Hombre,Tienda Sur,49,17
39,Hombre,Tienda Centro,65,19
39,Hombre,Tienda Oriente,51,14
39,Hombre,Tienda Poniente,52,14
39,Accesorios,Tienda Norte,120,49
39,Accesorios,Tienda Sur,69,17
39,Accesorios,Tienda Centro,113,37
39,Accesorios,Tienda Oriente,70,20
39,Accesorios,Tienda Poniente,87,34
40,Mujer,Tienda Norte,214,130
40,Mujer,Tienda Sur,117,66
40,Mujer,Tienda Centro,163,86
40,Mujer,Tienda Oriente,120,78
40,Mujer,Tienda Poniente,162,74
40,Niños,Tienda Norte,100,33
40,Niños,Tienda Sur,71,20
40,Niños,Tienda Centro,93,40
40,Niños,Tienda Oriente,75,17
40,Niños,Tienda Poniente,74,27
40,Calzado,Tienda Norte,78,23
40,Calzado,Tienda Sur,54,20
40,Calzado,Tienda Centro,82,28
40,Calzado,Tienda Oriente,72,23
40,Calzado,Tienda Poniente,59,14
40,Hombre,Tienda Norte,85,26
40,Hombre,Tienda Sur,47,13
40,Hombre,Tienda Centro,72,23
40,Hombre,Tienda Oriente,57,20
40,Hombre,Tienda Poniente,56,14
40,Accesorios,Tienda Norte,126,46
40,Accesorios,Tienda Sur,80,24
40,Accesorios,Tienda Centro,106,25
40,Accesorios,Tienda Oriente,75,30
40,Accesorios,Tienda Poniente,82,19
41,Mujer,Tienda Norte,171,67
41,Mujer,Tienda Sur,104,32
41,Mujer,Tienda Centro,116,29
41,Mujer,Tienda Oriente,92,25
41,Mujer,Tienda Poniente,134,43
41,Niños,Tienda Norte,143,91
41,Niños,Tienda Sur,86,48
41,Niños,Tienda Centro,149,117
41,Niños,Tienda Oriente,94,63
41,Niños,Tienda Poniente,107,65
41,Calzado,Tienda Norte,82,26
41,Calzado,Tienda Sur,53,16
41,Calzado,Tienda Centro,81,32
41,Calzado,Tienda Oriente,63,18
41,Calzado,Tienda Poniente,78,24
41,Hombre,Tienda Norte,100,69
41,Hombre,Tienda Sur,76,52
41,Hombre,Tienda Centro,96,63
41,Hombre,Tienda Oriente,73,53
41,Hombre,Tienda Poniente,91,70
41,Accesorios,Tienda Norte,121,39
41,Accesorios,Tienda Sur,76,21
41,Accesorios,Tienda Centro,92,24
41,Accesorios,Tienda Oriente,84,32
41,Accesorios,Tienda Poniente,84,27
42,Mujer,Tienda Norte,80,25
42,Mujer,Tienda Sur,54,20
42,Mujer,Tienda Centro,66,16
42,Mujer,Tienda Oriente,54,14
42,Mujer,Tienda Poniente,67,23
42,Niños,Tienda Norte,108,44
42,Niños,Tienda Sur,61,16
42,Niños,Tienda Centro,81,31
42,Niños,Tienda Oriente,76,22
42,Niños,Tienda Poniente,90,23
42,Calzado,Tienda Norte,89,35
42,Calzado,Tienda Sur,48,18
42,Calzado,Tienda Centro,76,27
42,Calzado,Tienda Oriente,60,17
42,Calzado,Tienda Poniente,79,33
42,Hombre,Tienda Norte,66,21
42,Hombre,Tienda Sur,51,12
42,Hombre,Tienda Centro,59,16
42,Hombre,Tienda Oriente,53,16
42,Hombre,Tienda Poniente,67,17
42,Accesorios,Tienda Norte,126,51
42,Accesorios,Tienda Sur,76,21
42,Accesorios,Tienda Centro,97,22
42,Accesorios,Tienda Oriente,80,23
42,Accesorios,Tienda Poniente,88,27
43,Mujer,Tienda Norte,322,268
43,Mujer,Tienda Sur,184,136
43,Mujer,Tienda Centro,270,182
43,Mujer,Tienda Oriente,179,146
43,Mujer,Tienda Poniente,201,119
43,Niños,Tienda Norte,160,95
43,Niños,Tienda Sur,93,67
43,Niños,Tienda Centro,161,108
43,Niños,Tienda Oriente,123,94
43,Niños,Tienda Poniente,111,79
43,Calzado,Tienda Norte,130,95
43,Calzado,Tienda Sur,90,67
43,Calzado,Tienda Centro,111,70
43,Calzado,Tienda Oriente,88,57
43,Calzado,Tienda Poniente,119,86
43,Hombre,Tienda Norte,107,70
43,Hombre,Tienda Sur,76,56
43,Hombre,Tienda Centro,101,63
43,Hombre,Tienda Oriente,70,52
43,Hombre,Tienda Poniente,77,59
43,Accesorios,Tienda Norte,126,35
43,Accesorios,Tienda Sur,82,25
43,Accesorios,Tienda Centro,92,25
43,Accesorios,Tienda Oriente,86,32
43,Accesorios,Tienda Poniente,81,21
44,Mujer,Tienda Norte,217,128
44,Mujer,Tienda Sur,119,68
44,Mujer,Tienda Centro,146,70
44,Mujer,Tienda Oriente,126,75
44,Mujer,Tienda Poniente,141,68
44,Niños,Tienda Norte,115,36
44,Niños,Tienda Sur,67,28
44,Niños,Tienda Centro,80,22
44,Niños,Tienda Oriente,70,23
44,Niños,Tienda Poniente,77,33
44,Calzado,Tienda Norte,141,114
44,Calzado,Tienda Sur,81,54
44,Calzado,Tienda Centro,110,79
44,Calzado,Tienda Oriente,77,49
44,Calzado,Tienda Poniente,89,70
44,Hombre,Tienda Norte,87,31
44,Hombre,Tienda Sur,54,14
44,Hombre,Tienda Centro,60,26
44,Hombre,Tienda Oriente,50,16
44,Hombre,Tienda Poniente,62,15
44,Accesorios,Tienda Norte,108,42
44,Accesorios,Tienda Sur,73,20
44,Accesorios,Tienda Centro,113,34
44,Accesorios,Tienda Oriente,83,31
44,Accesorios,Tienda Poniente,95,34
45,Mujer,Tienda Norte,177,40
45,Mujer,Tienda Sur,105,32
45,Mujer,Tienda Centro,117,44
45,Mujer,Tienda Oriente,96,21
45,Mujer,Tienda Poniente,108,37
45,Niños,Tienda Norte,96,23
45,Niños,Tienda Sur,58,13
45,Niños,Tienda Centro,100,20
45,Niños,Tienda Oriente,74,21
45,Niños,Tienda Poniente,76,20
45,Calzado,Tienda Norte,85,18
45,Calzado,Tienda Sur,63,17
45,Calzado,Tienda Centro,70,17
45,Calzado,Tienda Oriente,58,22
45,Calzado,Tienda Poniente,64,22
45,Hombre,Tienda Norte,78,22
45,Hombre,Tienda Sur,54,18
45,Hombre,Tienda Centro,68,21
45,Hombre,Tienda Oriente,55,16
45,Hombre,Tienda Poniente,60,21
45,Accesorios,Tienda Norte,204,131
45,Accesorios,Tienda Sur,117,79
45,Accesorios,Tienda Centro,173,126
45,Accesorios,Tienda Oriente,110,69
45,Accesorios,Tienda Poniente,153,88
46,Mujer,Tienda Norte,201,135
46,Mujer,Tienda Sur,154,116
46,Mujer,Tienda Centro,200,125
46,Mujer,Tienda Oriente,165,108
46,Mujer,Tienda Poniente,182,137
46,Niños,Tienda Norte,164,137
46,Niños,Tienda Sur,80,66
46,Niños,Tienda Centro,109,76
46,Niños,Tienda Oriente,91,53
46,Niños,Tienda Poniente,114,84
46,Calzado,Tienda Norte,85,33
46,Calzado,Tienda Sur,58,14
46,Calzado,Tienda Centro,81,19
46,Calzado,Tienda Oriente,66,19
46,Calzado,Tienda Poniente,74,17
46,Hombre,Tienda Norte,84,26
46,Hombre,Tienda Sur,43,12
46,Hombre,Tienda Centro,63,23
46,Hombre,Tienda Oriente,60,26
46,Hombre,Tienda Poniente,52,18
46,Accesorios,Tienda Norte,103,36
46,Accesorios,Tienda Sur,62,18
46,Accesorios,Tienda Centro,89,38
46,Accesorios,Tienda Oriente,91,40
46,Accesorios,Tienda Poniente,81,27
47,Mujer,Tienda Norte,257,221
47,Mujer,Tienda Sur,156,119
47,Mujer,Tienda Centro,204,161
47,Mujer,Tienda Oriente,198,118
47,Mujer,Tienda Poniente,179,144
47,Niños,Tienda Norte,149,92
47,Niños,Tienda Sur,97,67
47,Niños,Tienda Centro,145,110
47,Niños,Tienda Oriente,112,71
47,Niños,Tienda Poniente,115,72
47,Calzado,Tienda Norte,133,71
47,Calzado,Tienda Sur,82,45
47,Calzado,Tienda Centro,104,45
47,Calzado,Tienda Oriente,77,49
47,Calzado,Tienda Poniente,100,56
47,Hombre,Tienda Norte,73,25
47,Hombre,Tienda Sur,41,11
47,Hombre,Tienda Centro,72,16
47,Hombre,Tienda Oriente,50,16
47,Hombre,Tienda Poniente,68,17
47,Accesorios,Tienda Norte,115,39
47,Accesorios,Tienda Sur,62,16
47,Accesorios,Tienda Centro,99,39
47,Accesorios,Tienda Oriente,90,38
47,Accesorios,Tienda Poniente,86,20
